x>y-y>x,10000,2feat
0,-47.438933534021665,-64.10865183072536
1,-41.99864374042084,34.95182795400791
0,50.310925645537054,49.343913889635104
1,-89.92368325372743,74.12272522598172
1,-12.06854976913931,14.328548564791376
1,22.999914323140104,30.130954548622384
0,64.30042588825563,-94.1987573322302
1,-30.873962107544756,88.82539573333423
0,29.35523938549977,-24.77363871146403
1,6.413412090177559,69.86761160549457
0,33.30817154541759,8.687164220978133
0,71.48192241841252,-49.19915202190077
0,-3.328060989703445,-18.575797391197725
0,-52.86266226158889,-58.46938381851232
0,-69.88878240682621,-97.5941144323621
1,-9.339433183512952,32.62666388916051
1,-87.15047598204761,-63.93601695687965
1,-83.62300653901944,-80.26849003691473
0,-95.26356396808072,-97.0470279390916
0,10.62257107433399,-25.603622366230127
1,46.326107845105554,89.77348973574556
0,-32.65803573626576,-81.07409283073142
0,46.66395607273125,-64.97968008361043
0,17.87694614134172,-11.164347559442817
0,18.199174087208547,-1.5971463388318625
0,24.171332280704405,-20.014444480898135
1,-98.01249725572019,91.89929639117977
1,-47.311079809393284,13.12722722295318
0,53.37520606299799,-59.1364104274456
0,46.567909061792506,40.851292168563646
0,47.09122150176063,-85.88384549985774
1,-85.40480223807177,39.131175911904336
1,66.58566979940116,75.80506039984442
0,-32.23679880565197,-53.48134136293412
1,-46.698640064569695,17.38999816934934
1,59.621090198628394,98.70833837090296
1,-25.745277180283495,50.76065795801236
0,25.44435992403112,-86.44694989115469
0,68.1488997692874,-10.027896821632893
1,-57.36744020326714,22.769587462953922
1,30.653029428818257,70.80412622643422
0,91.70784071411799,-73.26823888034698
1,-27.03483072685364,13.56848048124877
0,93.59475242400705,-64.94609778243623
0,33.593525669053264,-35.80014308199861
1,-2.5796018676045094,58.81908247585886
1,-65.56781374441965,-40.98516806486274
1,-26.037991655671917,-11.722474605850408
0,73.1507069812516,63.8817942779157
0,-4.8342511150568015,-69.57926047101309
1,-59.79152572849398,1.8464539913678237
1,44.740514371137124,82.98801915065187
1,46.32177971672124,72.68408548853827
0,81.52969814093157,-77.6808224700417
1,40.44527010289508,77.64628979606368
1,-59.703425838289405,-20.03749250541837
0,18.350892925780087,18.31445804061096
0,62.20615581201855,-63.87281856427434
0,69.57439006690635,11.694976327588819
1,-28.88555782743387,25.79889046405374
0,-9.007553857324083,-98.74742926444027
1,-0.8529906869573409,67.8136992600646
0,-0.5205369288674717,-7.749315263437623
0,75.2864314481343,-66.31234973105511
1,-97.2995717951391,-30.001101136226737
0,16.92950136789537,-15.122694114280804
1,-49.613036011846326,35.3844426454707
0,0.49296503751796195,-4.636220006413765
0,41.65977468182905,-69.98882712472528
1,-76.61912511712734,4.385786682137621
1,-37.58683188515008,-31.735782830522012
1,-93.55571040703931,-85.54600070990509
1,41.91220576556748,82.95087658331792
1,22.378355559125367,96.14320532957228
1,-83.78069866150057,-79.11896952872597
0,40.684746694515894,17.63306493570198
0,2.943273793125755,-27.471007125715616
0,-72.62315516288005,-84.87448343457204
0,7.861683818958127,-13.106386690956455
1,24.160062734881606,45.19079614127568
1,-96.2871395245642,98.03758028663623
0,-39.3703019565363,-43.334136615878435
1,-84.99204338813229,74.90848154848456
0,-34.93475124728384,-47.952302889260466
1,-39.73532067699417,-27.163764317374955
1,1.2428528427932406,9.828983406196514
0,15.096846796952732,-9.41331382055408
1,-95.51542298933917,-14.42933255377558
0,-10.636269768171758,-80.62656883820802
1,-99.54021748698871,-9.797395221529044
0,97.1641454747888,-92.92507202809306
1,17.654269065078182,78.97754501811235
0,84.49664932464523,-53.658007133569164
1,15.712964441311897,99.50792596631123
1,-91.33251824501028,44.13823844661496
1,-17.636954797892983,89.95901425441107
0,28.87538231736596,-7.292475353266539
